Replicate,Heterogeneity model,Tree length,LnL gamma rates,LnL free rates,LnL phyloRNN rates,LnL true rates
197,GBM_uncorrelated,0.063,-1867.110,-1866.860,-1845.379,-1816.263
198,Spike-and-slab_uncorrelated,12.641,-39239.380,-39222.070,-39222.680,-39128.806
199,GBM_uncorrelated,0.434,-4223.900,-4223.020,-4175.696,-4208.913
200,Gamma_autocorrelated,0.639,-4920.710,-4877.060,-4426.372,-4418.214
201,Gamma_autocorrelated,1.280,-8055.220,-8035.330,-7468.765,-7499.669
202,Spike-and-slab_autocorrelated,6.012,-23146.440,-22898.840,-22689.355,-22750.106
203,Gamma_uncorrelated,0.056,-1870.470,-1870.290,-1838.996,-1790.961
204,Codon_uncorrelated,0.317,-3483.420,-3482.350,-3400.011,-3411.794
205,GBM_autocorrelated,0.238,-3147.470,-3147.000,-3095.801,-3118.541
206,mixed_model_mixed_model,0.222,-3561.670,-3554.710,-3417.443,-3951.857
207,Spike-and-slab_uncorrelated,0.074,-2029.520,-2029.430,-2009.838,-2023.974
208,Gamma_uncorrelated,15.193,-33688.680,-33682.430,-33027.222,-32590.239
209,Bimodal_uncorrelated,0.809,-5936.380,-5931.270,-5628.582,-5555.388
210,Bimodal_autocorrelated,4.112,-18623.720,-18621.070,-18361.715,-18383.675
211,mixed_model_mixed_model,0.244,-2032.990,-1972.300,-2018.489,-2086.889
212,GBM_autocorrelated,0.284,-3391.060,-3390.090,-3347.683,-3379.399
213,GBM_uncorrelated,0.072,-1771.950,-1770.560,-1753.192,-1771.580
214,GBM_autocorrelated,0.372,-3809.490,-3804.710,-3649.583,-3666.687
215,GBM_uncorrelated,0.563,-4981.340,-4971.870,-4658.285,-4750.764
216,Spike-and-slab_uncorrelated,0.196,-2915.170,-2914.060,-2890.558,-2882.204
217,Spike-and-slab_autocorrelated,0.099,-2246.930,-2246.720,-2184.663,-2245.638
218,GBM_uncorrelated,0.325,-3526.550,-3502.300,-3184.787,-3236.407
219,Gamma_uncorrelated,0.098,-2376.490,-2371.430,-2259.733,-2301.686
220,Spike-and-slab_autocorrelated,2.285,-13232.120,-13214.900,-13120.501,-13127.130
221,Spike-and-slab_autocorrelated,0.571,-5182.940,-5177.360,-5093.195,-5102.243
222,Codon_uncorrelated,3.757,-17697.100,-17696.590,-17296.111,-17297.312
223,Gamma_uncorrelated,1.155,-7510.800,-7481.290,-6950.816,-6973.613
224,Bimodal_uncorrelated,11.939,-35958.850,-35957.970,-35942.294,-35956.948
225,Codon_uncorrelated,1.177,-8174.070,-8173.510,-7920.370,-7948.151
226,GBM_uncorrelated,6.263,-18066.710,-17965.030,-17121.621,-16988.474
227,Bimodal_autocorrelated,16.578,-40588.490,-40586.630,-40578.295,-40489.642
228,Gamma_autocorrelated,0.199,-2835.320,-2817.290,-2597.290,-2613.518
229,Gamma_uncorrelated,0.117,-2195.440,-2193.840,-2125.800,-2156.330
230,Bimodal_autocorrelated,0.129,-2577.900,-2576.680,-2550.798,-2573.304
231,Bimodal_autocorrelated,0.028,-1658.010,-1657.920,-1634.722,-1660.322
232,Gamma_autocorrelated,0.045,-1717.350,-1715.960,-1688.436,-1709.679
233,Gamma_uncorrelated,6.257,-12942.020,-12747.590,-11981.745,-11797.799
234,Codon_uncorrelated,0.153,-2611.940,-2611.860,-2563.629,-2574.236
235,Gamma_autocorrelated,21.565,-22682.190,-22586.310,-21501.508,-21235.124
236,Bimodal_uncorrelated,2.540,-12396.460,-12187.280,-11730.553,-11529.212
237,Gamma_uncorrelated,0.236,-3158.480,-3152.230,-3000.869,-3059.160
238,Gamma_uncorrelated,1.498,-7321.490,-7116.290,-6518.134,-6519.176
239,Bimodal_uncorrelated,12.166,-34987.780,-34970.880,-34753.627,-34342.879
240,Spike-and-slab_uncorrelated,0.029,-1520.660,-1520.660,-1505.476,-1521.771
241,Gamma_autocorrelated,0.036,-1564.410,-1564.280,-1526.467,-1531.582
